comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,feasibility_rejection_rate,20,20,0,0,0,0.034499999999999996,0.04749999999999999,-0.14,0.19999999999999998,0.35
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,feasibility_rejection_rate,20,20,0,0,0,0.0435,0.05499999999999999,-0.13999999999999999,0.245,0.3
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,total_vehicle_km,20,20,0,0,0,-277.2436406436338,-292.2752328630308,-529.2336893750144,-130.79925824458496,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,total_vehicle_km,20,20,0,0,0,-230.3311769324047,-227.40832701165692,-400.61028572617926,-104.90714515294889,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,total_vehicle_km,20,20,0,0,0,-236.7157311897694,-229.53846199667353,-427.9969732130033,-113.09195254351351,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,vkm_per_served_trip,20,20,0,0,0,-5.476358159996419,-5.073398910826841,-8.856975287843932,-2.6073724206490763,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,vkm_per_served_trip,20,20,0,0,0,-4.380937310318979,-3.9744180387105867,-9.207903127176671,-1.9457244833502028,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,vkm_per_served_trip,20,20,0,0,0,-4.622076831344097,-4.399722411566226,-8.605652887931885,-1.8394319688552851,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,vkm_per_original_request,20,20,0,0,0,-1.3862182032181691,-1.4613761643151542,-2.646168446875071,-0.6539962912229249,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,vkm_per_original_request,20,20,0,0,0,-1.1516558846620233,-1.1370416350582844,-2.0030514286308962,-0.5245357257647445,1.0
