comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share,ci_low,ci_high,ci_method,bootstrap_seed,n_resamples
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,total_vehicle_km,20,20,0,0,0,-230.3311769324047,-227.40832701165692,-400.61028572617926,-104.90714515294889,1.0,-265.64842934050677,-196.0953815684297,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,total_vehicle_km,20,20,0,0,0,-236.7157311897694,-229.53846199667353,-427.9969732130033,-113.09195254351351,1.0,-271.6122520889543,-203.4746968366175,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,vkm_per_served_trip,20,20,0,0,0,-5.476358159996419,-5.073398910826841,-8.856975287843932,-2.6073724206490763,1.0,-6.1878515762960395,-4.853474948996075,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,vkm_per_served_trip,20,20,0,0,0,-4.380937310318979,-3.9744180387105867,-9.207903127176671,-1.9457244833502028,1.0,-5.107945869749445,-3.771431636700229,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,vkm_per_served_trip,20,20,0,0,0,-4.622076831344097,-4.399722411566226,-8.605652887931885,-1.8394319688552851,1.0,-5.294737889331881,-4.002356621673743,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,vkm_per_original_request,20,20,0,0,0,-1.3862182032181691,-1.4613761643151542,-2.646168446875071,-0.6539962912229249,1.0,-1.6149819978601663,-1.1814685776987757,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,vkm_per_original_request,20,20,0,0,0,-1.1516558846620233,-1.1370416350582844,-2.0030514286308962,-0.5245357257647445,1.0,-1.3202452611306184,-0.982286964469487,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,vkm_per_original_request,20,20,0,0,0,-1.183578655948847,-1.1476923099833676,-2.1399848660650163,-0.5654597627175675,1.0,-1.3673570171269445,-1.0130374693984103,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,avg_wait,20,20,0,0,0,-3431.1093239114334,-3405.2597161080694,-5914.083645369818,-400.69308728812615,1.0,-4069.437302094369,-2794.66742602113,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,avg_wait,20,20,0,0,0,-3156.082064931437,-2961.415340769142,-5518.388917567266,-959.3012616108924,1.0,-3710.870357003967,-2648.112477861592,paired_bootstrap_percentile,20260616,5000
